#Flow rate(1/s)	Mean velocity(m/s)
2.286	1.494
2.743	1.307
3.446	1.168
3.200	1.134
3.778	1.084
3.068	1.031
2.667	0.915
3.200	0.920
3.343	0.840
2.866	0.818
3.059	0.869
2.341	0.866
3.478	0.851
3.059	0.881
3.000	0.687
2.633	0.753
1.574	0.682
1.231	0.722
-nan	-nan
-nan	-nan
