-199	-578
-190	-436
-190	-182
-188	-233
-186	-723
-184	-328
-181	-502
-179	-370
-176	595
-175	-624
-171	-259
-168	-149
-165	-292
-160	-118
-157	-193
-156	-403
-153	-300
-151	-541
-148	-449
-148	-64
-140	-486
-137	494
-131	-92
-128	569
-127	-127
-126	-226
-120	-630
-118	-351
-115	-290
-112	-202
-110	-707
-110	-534
-110	-330
-107	-400
-105	-141
-105	-99
-99	-429
-92	-255
-89	-498
-79	-171
-77	409
-71	-290
-70	-366
-69	-629
-67	555
-64	-454
-64	-237
-61	-206
-60	-566
-60	-398
-59	-131
-53	-534
-49	-262
-48	-75
-45	198
-35	-498
-32	-749
-28	-303
-25	-406
-22	-97
-22	306
-20	571
-19	-596
-18	-534
-18	-138
-13	-663
-13	-204
-12	-174
-10	427
-8	-23
-7	139
-6	-382
-6	-338
-4	-271
-3	-445
2	-506
9	-747
19	-571
19	-429
19	-85
20	-132
22	-642
22	-216
28	-332
28	-200
31	-249
32	38
33	573
35	199
36	-285
38	-15
40	-713
42	-149
43	-122
43	483
45	-375
46	-47
48	-482
50	-519
54	275
56	-603
56	102
61	-222
64	-432
68	-549
72	-339
73	-34
74	-171
74	166
76	-264
76	-108
76	21
82	-633
90	-198
91	-413
91	-252
93	-294
95	-476
95	-376
95	-77
99	71
100	-337
100	377
103	-172
106	-716
109	-574
111	235
113	-442
118	-226
118	-128
118	-18
120	-415
120	-85
124	-305
124	30
125	459
130	-521
131	-255
132	-374
146	191
147	-208
148	-636
148	-431
151	-351
152	-588
152	384
155	96
157	-83
158	-228
159	-131
160	-161
164	-506
168	-466
169	-262
169	-23
172	-375
173	-296
178	312
184	-81
188	195
190	21
191	-388
193	-195
194	-547
194	-481
195	123
196	-128
197	-247
198	537
200	-428
208	-591
215	-283
215	-160
217	-379
218	-86
226	-561
232	-422
233	-314
233	-111
238	605
241	-340
241	390
244	-480
247	-231
251	-369
251	-175
253	279
260	-521
267	-595
268	-308
269	-114
270	-261
271	-342
280	-450
282	-193
288	-389
295	-486
301	-357
302	-228
305	-137
306	-588
312	-88
314	-316
314	-265
315	-180
326	-519
327	-156
328	-438
333	-201
339	-402
339	-357
351	-88
355	-287
358	-454
365	-541
369	-425
369	-236
376	-119
377	-195
380	-377
