-186	209
-139	-479
-133	258
-110	113
-99	159
-94	197
-58	-478
-57	-376
-57	330
-56	-303
-56	-184
-56	112
-54	73
-48	159
-48	436
-39	220
-35	-45
-34	-578
-31	-502
-23	22
-7	258
-6	-134
-4	483
0	-262
1	74
1	124
4	201
5	356
8	-354
17	-11
25	-188
32	-429
36	-576
37	45
43	-83
57	227
65	-240
65	-27
67	167
69	-346
69	290
71	107
71	355
74	40
77	393
79	-154
97	-396
97	206
103	-270
104	-65
104	146
110	-503
114	50
116	-590
120	344
131	-213
136	-44
138	178
146	105
147	-360
149	-126
150	-449
152	242
155	21
165	-294
169	-558
169	136
176	-192
185	79
186	390
189	-65
192	221
197	316
208	-171
212	58
218	-412
221	-16
226	-507
228	-357
244	-244
249	128
269	-389
286	-297
287	-502
