-186	219
-145	-601
-141	-502
-139	266
-127	169
-125	118
-118	204
-80	89
-76	190
-71	-361
-70	-454
-70	136
-59	238
-55	-585
-55	466
-43	84
-42	374
-38	-195
-36	-271
-35	34
-33	-87
-17	168
-7	-31
-6	118
-6	294
-5	-344
-3	240
2	512
4	-525
4	-156
6	-475
9	370
11	-241
13	-381
17	61
18	-591
35	-1
36	-82
37	110
47	52
49	266
50	-300
56	330
58	164
59	397
60	-450
60	222
64	-123
68	-35
70	-216
76	111
83	-515
83	246
84	203
86	444
87	28
98	-272
102	-152
117	134
117	389
122	-384
126	47
128	-84
133	-20
138	226
140	-470
140	291
150	-84
151	165
156	100
158	-328
159	-549
164	-241
166	-168
173	419
174	191
175	-418
177	259
186	22
189	133
191	-58
195	357
207	-291
214	55
217	-239
222	125
225	-549
230	-373
231	-97
255	-263
261	-471
261	-178
284	-364
293	146
326	-575
