-186	213
-161	-553
-146	260
-121	108
-116	166
-98	213
-94	-399
-88	-506
-71	79
-61	232
-60	186
-58	128
-52	356
-50	-235
-44	458
-37	-303
-35	5
-34	-121
-32	64
-25	-386
-17	-64
-10	504
-7	283
-6	-570
-4	154
-3	-508
-1	372
2	-425
6	104
9	33
10	-191
11	232
16	-283
22	-119
42	-24
42	93
43	-345
48	252
52	207
57	-496
57	-164
57	145
62	29
65	322
66	380
67	-561
74	-260
78	88
82	-67
83	430
84	187
85	-5
95	233
101	-319
109	375
111	-192
119	-422
122	108
124	-131
124	15
131	-514
136	276
138	-585
139	208
140	-51
149	146
152	-282
157	-369
161	-210
167	77
168	-119
172	411
176	-469
177	173
179	243
182	4
183	114
190	-97
192	347
209	35
210	-601
211	-337
226	-285
228	-416
228	106
230	-147
252	-305
265	-523
273	-223
283	-412
284	132
