-183	-154
-178	-281
-154	-183
-139	-245
-132	550
-122	-90
-104	-228
-95	-187
-90	407
-80	-285
-73	-132
-70	-78
-50	-505
-46	-410
-46	199
-45	-176
-45	296
-37	92
-35	-226
-29	-106
-27	367
-26	-337
-24	-53
-23	20
-17	-281
-16	235
-15	-163
-10	-558
-4	408
1	-18
7	-107
10	-423
11	554
15	-194
16	148
16	282
18	53
27	-63
30	-302
37	-150
39	-279
44	326
45	-219
49	191
52	-385
58	-481
58	100
59	-23
63	415
63	482
66	-437
68	-140
72	241
73	-322
73	-197
74	45
75	-86
76	-266
82	92
94	9
97	308
100	522
101	-69
105	-309
106	-436
107	-147
117	391
124	-366
124	-209
127	178
133	-108
136	-16
137	117
139	271
145	-239
150	-68
157	56
160	-442
166	-343
170	-181
170	511
171	-266
178	197
179	330
184	23
185	95
187	423
188	-68
190	-141
196	-404
197	-211
207	179
214	445
217	-20
219	544
222	60
222	301
228	-74
237	151
241	-186
245	382
252	243
261	-128
273	334
314	412
337	-190
